label,review,split
0,nothing shout,train
0,feel stuck,train
1,lead vendor program,train
0,ugh,train
1,great company,train
0,support engineer,train
0,facility tech,train
0,sorter,train
1,great company smart people set boundary,train
0,game card engineering,train
1,creative,train
0,5 year mostly waste time building subpar product,train
1,business planner,train
0,friendliest environment,train
0,work life balance even think,train
0,policy,train
0,fast paced demanding,train
1,love company,train
0,horrible,train
0,good place work anymore,train
1,course apple,train
1,sr program manager,train
0,amzn eval,train
1,seattle centric,train
1,spirit,train
0,poor work culture,train
0,customer service associate,train
0,virtual customer service associate,train
1,microsoft,train
0,expect advancement management hit miss,train
1,transaction risk investigator,train
1,okay,train
1,major league,train
0,join trm love drug,train
0,recruiter,train
1,great place internship absolutely lifechanging experiencing community everyone passionate,train
1,best retail company work,train
1,gm sale,train
0,hard work physically low pay working hard one thing slave driver,train
1,excellent,train
0,run bro,train
1,solid place work great learn,train
1,genius,train
1,great,train
0,okay need money,train
1,great company great environment,train
1,working recruiting,train
1,best,train
0,amazon mcdonalds,train
0,hell earth,train
0,good benefit,train
0,awful compensation coworkers,train
1,high expectation,train
0,travail famille impossible,train
1,great place get skill discount work cool people,train
0,picker,train
0,leadership,train
0,lot growth opportunitybut beware long hour,train
0,benefit,train
0,operation engineering position technician pay,train
1,program manager,train
1,product manager,train
1,apple,train
0,great people without college,train
1,fantastic company,train
0,like 25 bad portrayed medium,train
1,best place go refine skill set,train
1,program manager,train
1,great place grow prepare pay,train
1,good job major change though,train
1,sde,train
0,microsoft worse place work entire career,train
0,detached,train
1,product advisor,train
0,sound good true,train
1,ship dock,train
1,great place work amazing opportunity develop business idea,train
1,great,train
0,vendor support,train
1,workforce management analyst,train
1,good place work,train
1,university software development,train
0,operation manager,train
1,icqa tier 3,train
0,tsp inside sale might good place,train
0,interesting place work let politics,train
0,good,train
0,horrible company work,train
0,longer place,train
1,great project,train
0,awful worklife balance,train
1,well rounded engineering experience,train
1,manager,train
0,kind cruel never know going get day,train
1,decent job money,train
0,average tenure amazon employee 9 12 month,train
1,intern,train
0,warehouse,train
0,desperately trying stay relevant,train
0,former fulltimer parttimer,train
0,know,train
0,strong,train
0,would recommend,train
0,love people value,train
1,love working amazon,train
0,picker,train
0,vcm note review team vcm amwas part,train
0,avoid like fire,train
0,tough job,train
1,average place work,train
1,good job,train
0,university recruiting,train
0,contract,train
1,great company taking thing chin self imposed,train
0,far good,train
0,unending barrage work stress poorly mitigated one retention method monetary compensation,train
1,downward spiral,train
1,worked employee,train
0,shame,train
0,long hour political,train
1,difficult get promoted,train
0,microsoft review,train
0,definitely meritocracy,train
1,sde microsoft,train
0,bad,train
1,good company work,train
0,temporary full time holiday,train
1,specialist apple retail,train
1,specialist,train
0,amazing coworkers horrible managment,train
0,company review,train
1,company,train
0,employee may act happy facing customer actually miserable,train
0,okay need work,train
0,current employee tech specialist,train
0,senior fraud investigator,train
1,fast paced development high pressure,train
1,software development engineer,train
0,bad culture horrible favoritism,train
1,senior marketing manager,train
1,fast pace work environment,train
0,instructional designer,train
1,great company work,train
1,program manager,train
1,great place,train
1,great employer depending group need become design company,train
1,good place build,train
0,senior manager,train
1,big bloated,train
1,nice start,train
1,overall experience,train
1,good terrible depending manager,train
1,good,train
0,senior sw engr,train
0,operation managerdvd hub,train
0,tell brag ill tell lack,train
0,amazing company weird culture,train
0,great company broken building,train
1,good job inbetweeners student bored parent,train
0,inherit wind,train
0,emt employment,train
1,experience within amazon,train
0,cr advisor,train
1,great job college,train
1,engineering manager,train
0,home advisor pretty,train
0,sr product manager,train
1,aws seems operate little differently consumer side,train
1,manager,train
1,awesome place work,train
1,good company,train
0,get lured pay trap,train
0,apple home advisor technical support,train
1,service engineer,train
1,great internship experience,train
1,seasonal staff,train
0,stock price tripled lot hard work,train
0,avoid,train
1,software development intern,train
0,keep,train
0,cheap much room long term,train
1,innovative customer obsessed,train
1,solid company want stable job,train
1,customer sale rep,train
0,good place work unless,train
0,good,train
1,business analyst program manager,train
0,people come go,train
1,company great resource training career potential need focused customeräs business,train
1,program manager,train
0,smart people bureaucracy politics like cancer,train
0,project manager,train
0,cog,train
0,dont care hard worker,train
0,bad job get management level,train
0,great company,train
1,customer service,train
0,great opportunity mired corporate politics,train
1,great place work,train
0,great different company,train
0,amazon,train
0,disappointing say least,train
1,smart people lot opportunity different thing good pay,train
1,good place stay survive grow,train
0,left voluntarily even promoted twice new job thank god,train
0,depends job,train
0,associate partner manager uk ok first job,train
1,c developer,train
1,good place careful move another state politics change market,train
1,great place work,train
0,live expectation,train
1,weres,train
1,best company india,train
0,good,train
0,data engineer,train
1,balanced,train
1,google programmer,train
0,operation asst manager,train
1,great place work,train
1,first 6month amazon china,train
1,manager,train
1,challenging dynamic must find worklife balance,train
1,amazon way life,train
0,bad experience amazon prague,train
1,work hard fun make history,train
0,appreciate employee,train
0,would expect warehouse job,train
0,work risk warned,train
1,mac genius hardwork low pay,train
1,typical corporation great budget,train
1,could work elsewhere,train
0,losing passion bureaucracy,train
1,channel program analyst,train
0,team lead manager,train
0,secretive fragmented,train
1,genius,train
0,glass ceiling,train
1,marketing,train
0,worked,train
0,cannot recommend unless goal money,train
0,good friend area manangers,train
0,unprofessional,train
1,senior sdet,train
1,great place work,train
0,warehouse associate,train
0,cultish selfserving,train
1,good company,train
1,specialist,train
1,best talentbest place,train
1,financial analyst,train
0,double standard place,train
0,stay two year max get,train
1,amazing culture amusing place,train
1,love job,train
1,ok prepared critique,train
0,absolutely horrifying experience,train
1,lot smart people selling ad,train
0,overworked,train
1,amazon great place work,train
0,bangalore idc pathetic shape,train
1,great got play,train
1,used,train
0,vd 2,train
1,cool enough,train
1,sde intern,train
1,app reviewer,train
1,best retail,train
1,nice place work,train
1,great technology people last,train
0,reasonable work environment beware microsoft manager,train
0,warning,train
1,good overall environment dealing hr annoying,train
0,great people make,train
0,fast paced work environment proper training certain position,train
0,extremely tiring age fast,train
1,microsoft,train
1,fantastic,train
1,principal program manager,train
1,good experience,train
0,ups down,train
